Patrones: Espiral 2
Salidas: Rojo, Azul
Entradas: X, Y
307.51,542.68,1
278.90,593.27,1
296.28,590.29,1
298.51,558.65,1
291.62,558.68,1
321.50,588.26,1
318.34,584.84,1
336.62,578.69,1
320.33,590.06,1
322.59,571.21,1
399.08,189.26,0
427.33,198.41,0
410.04,182.05,0
399.64,190.03,0
400.78,196.81,0
430.88,199.10,0
429.07,208.99,0
413.54,209.65,0
412.28,180.86,0
403.96,200.35,0
416.22,194.79,0
407.57,201.81,0
405.05,204.83,0
430.31,192.32,0
362.61,582.77,1
345.25,594.08,1
348.14,585.42,1
351.22,593.50,1
360.18,592.92,1
354.69,561.26,1
350.25,561.37,1
334.50,560.71,1
342.09,553.08,1
359.81,594.70,1
362.88,584.27,1
352.96,551.03,1
343.28,559.04,1
333.55,569.66,1
337.00,589.11,1
330.18,563.78,1
385.60,206.24,0
393.85,197.38,0
386.98,187.60,0
396.73,202.27,0
389.76,195.47,0
393.82,207.49,0
390.56,208.75,0
391.82,193.90,0
374.10,199.55,0
349.62,221.11,0
368.04,216.97,0
365.13,204.89,0
357.38,214.46,0
356.44,191.36,0
369.78,202.45,0
377.71,194.90,0
341.09,205.37,0
371.38,221.07,0
353.39,205.49,0
370.60,219.22,0
346.38,219.58,0
369.67,203.42,0
338.34,205.45,0
345.32,196.63,0
402.25,548.65,1
395.79,586.35,1
410.99,586.78,1
413.68,582.62,1
417.24,579.21,1
426.39,559.95,1
399.11,558.77,1
408.82,580.59,1
397.13,574.61,1
401.58,587.67,1
393.84,564.51,1
396.41,589.30,1
416.54,589.06,1
404.95,579.87,1
388.81,575.55,1
430.08,562.50,1
431.23,564.17,1
433.95,543.40,1
439.21,544.41,1
444.47,559.05,1
434.44,543.76,1
437.54,541.49,1
316.39,216.60,0
305.69,208.38,0
322.63,214.54,0
322.18,222.40,0
278.91,211.71,0
275.86,228.91,0
310.73,229.47,0
305.00,203.14,0
278.67,213.46,0
324.48,227.26,0
302.78,239.48,0
300.24,248.66,0
272.89,234.62,0
295.56,232.50,0
319.74,231.67,0
314.83,216.50,0
285.56,216.05,0
300.73,245.08,0
451.03,526.81,1
453.50,545.98,1
469.11,560.36,1
449.24,549.01,1
467.21,536.12,1
471.46,553.93,1
462.63,529.12,1
476.25,527.66,1
461.56,554.45,1
460.64,533.96,1
293.14,263.63,0
294.57,268.66,0
281.43,260.87,0
283.20,260.40,0
278.10,252.50,0
289.37,263.52,0
296.85,263.74,0
289.90,257.66,0
483.65,517.36,1
483.42,523.16,1
482.29,519.04,1
492.49,521.47,1
263.55,262.33,0
253.86,275.52,0
260.72,254.76,0
277.76,272.62,0
266.08,248.88,0
262.85,273.04,0
266.40,272.58,0
278.13,256.95,0
280.22,264.96,0
262.47,264.62,0
510.54,496.32,1
518.92,507.25,1
493.39,500.10,1
499.50,491.42,1
508.49,516.87,1
510.75,519.28,1
488.33,509.38,1
503.85,508.44,1
508.66,501.65,1
512.70,501.09,1
488.81,500.91,1
501.14,515.58,1
257.44,277.65,0
242.19,285.07,0
248.45,286.32,0
250.12,296.36,0
256.83,280.98,0
254.26,283.43,0
255.26,289.43,0
246.76,287.54,0
252.39,285.12,0
256.39,314.12,0
228.30,301.04,0
230.51,311.53,0
236.80,311.03,0
253.92,304.36,0
248.49,307.55,0
250.70,326.67,0
247.81,310.63,0
233.70,299.27,0
260.58,320.02,0
219.20,311.66,0
233.79,330.70,0
545.24,452.48,1
521.59,445.44,1
534.16,454.30,1
527.47,465.09,1
508.13,463.69,1
511.29,438.68,1
515.60,449.40,1
517.82,441.04,1
516.57,428.55,1
538.13,438.49,1
506.29,452.53,1
519.83,480.33,1
507.55,457.05,1
513.10,428.88,1
530.19,479.32,1
512.22,430.53,1
541.81,470.74,1
524.83,433.02,1
543.26,473.99,1
244.53,354.95,0
217.20,357.48,0
242.68,361.88,0
222.49,381.52,0
233.10,351.76,0
230.84,376.98,0
236.79,342.46,0
210.51,361.67,0
213.65,338.70,0
221.23,341.15,0
203.38,343.31,0
541.34,417.60,1
555.43,405.47,1
538.12,416.15,1
547.61,395.34,1
557.17,412.92,1
522.47,423.75,1
534.81,423.43,1
525.13,420.29,1
549.89,422.16,1
550.99,412.95,1
230.41,387.54,0
231.47,388.36,0
256.80,407.21,0
228.04,410.45,0
260.90,393.38,0
250.67,401.25,0
232.85,417.18,0
223.51,399.54,0
232.69,391.72,0
241.11,404.42,0
242.87,405.20,0
230.97,394.96,0
526.17,378.42,1
534.78,376.63,1
532.12,378.70,1
537.52,370.71,1
516.49,360.83,1
538.22,373.63,1
533.12,359.21,1
527.73,377.22,1
518.90,366.91,1
542.21,338.02,1
552.21,330.68,1
550.32,329.64,1
546.11,333.07,1
523.88,338.30,1
532.88,354.23,1
530.09,344.56,1
519.73,332.34,1
273.77,435.84,0
258.63,443.98,0
244.89,438.07,0
253.37,442.81,0
250.27,429.87,0
267.68,448.85,0
260.28,432.37,0
259.39,431.85,0
501.50,331.26,1
495.53,333.77,1
500.55,328.49,1
490.48,328.03,1
510.60,329.78,1
519.28,318.23,1
504.56,330.35,1
287.72,456.63,0
274.82,470.68,0
267.87,461.46,0
273.20,460.63,0
274.83,455.93,0
488.50,314.58,1
489.12,313.14,1
496.72,304.92,1
491.13,308.44,1
299.35,462.72,0
310.11,477.83,0
299.89,476.61,0
297.23,480.66,0
288.64,482.33,0
308.60,479.67,0
276.35,471.71,0
306.20,476.03,0
305.66,487.07,0
283.38,492.67,0
306.89,487.83,0
483.30,295.72,1
490.75,285.21,1
476.14,279.89,1
474.13,281.25,1
463.32,296.01,1
484.50,277.32,1
479.41,295.72,1
473.20,283.98,1
473.64,295.78,1
469.98,299.17,1
453.38,301.19,1
457.82,302.11,1
454.25,289.07,1
446.52,292.57,1
452.40,300.21,1
462.64,289.64,1
457.76,293.27,1
454.09,287.70,1
315.25,489.40,0
325.80,482.71,0
327.82,493.68,0
320.53,503.24,0
330.60,484.07,0
346.30,494.05,0
343.37,485.35,0
330.23,497.82,0
338.67,495.88,0
325.00,486.35,0
343.90,500.74,0
437.51,280.33,1
431.47,270.06,1
433.98,283.97,1
430.46,266.21,1
446.84,269.59,1
425.85,278.88,1
451.80,275.06,1
432.11,265.32,1
355.64,503.77,0
347.73,493.74,0
347.65,508.97,0
353.04,490.11,0
351.74,499.27,0
426.64,280.99,1
412.99,271.33,1
419.18,274.14,1
425.73,269.75,1
413.14,283.48,1
416.04,275.77,1
411.86,279.36,1
416.69,272.33,1
355.74,484.74,0
380.16,496.59,0
367.96,489.22,0
368.09,491.01,0
373.34,479.82,0
369.26,508.57,0
362.16,485.65,0
348.97,489.16,0
348.86,489.96,0
362.77,480.53,0
359.50,498.45,0
362.31,496.33,0
409.14,275.23,1
393.83,279.46,1
407.56,278.31,1
408.12,277.96,1
388.03,272.71,1
377.07,264.51,1
384.98,271.38,1
391.49,276.74,1
391.14,277.39,1
381.07,264.42,1
390.01,502.39,0
386.59,485.19,0
415.78,492.89,0
409.08,495.63,0
398.60,467.42,0
397.93,468.70,0
408.21,503.20,0
421.27,481.14,0
414.74,483.45,0
395.34,473.33,0
393.92,475.22,0
390.61,499.60,0
367.85,295.75,1
371.44,294.24,1
368.58,289.76,1
367.42,294.94,1
361.72,285.19,1
374.61,283.66,1
376.64,291.37,1
375.45,291.60,1
354.88,280.42,1
416.78,466.58,0
415.14,468.68,0
432.48,478.58,0
433.82,467.06,0
422.98,486.15,0
433.43,469.24,0
340.08,290.95,1
345.72,297.35,1
332.13,307.49,1
356.46,298.71,1
338.61,310.95,1
427.37,442.12,0
434.32,442.21,0
437.85,457.75,0
436.80,448.34,0
438.53,451.84,0
438.41,443.95,0
433.10,460.13,0
323.41,315.38,1
312.77,304.77,1
326.65,304.58,1
327.34,306.75,1
325.21,317.29,1
325.29,310.15,1
319.59,304.88,1
309.53,314.97,1
327.43,327.19,1
321.34,326.49,1
320.66,328.79,1
307.56,315.03,1
324.21,332.32,1
314.47,323.68,1
317.84,321.14,1
461.58,439.99,0
448.70,438.78,0
455.07,446.41,0
457.33,450.10,0
451.94,449.19,0
463.90,454.65,0
462.19,414.62,0
454.14,428.36,0
449.84,423.32,0
443.25,421.50,0
449.35,413.35,0
291.77,350.24,1
301.01,356.48,1
293.16,341.19,1
307.01,349.29,1
305.38,355.30,1
290.82,342.97,1
322.58,345.89,1
310.15,336.62,1
306.10,355.42,1
475.66,400.67,0
465.92,407.71,0
474.89,416.22,0
466.39,404.82,0
477.96,410.06,0
459.43,409.26,0
466.99,415.49,0
465.48,400.93,0
466.62,410.27,0
453.49,402.44,0
470.69,385.93,0
453.78,399.71,0
457.69,384.88,0
454.10,389.75,0
458.56,392.02,0
304.61,383.46,1
307.51,367.07,1
300.47,367.67,1
303.59,384.62,1
298.70,375.33,1
309.51,370.23,1
308.73,378.55,1
447.72,363.08,0
457.49,381.62,0
445.52,370.26,0
451.16,369.82,0
453.33,382.76,0
441.18,376.98,0
450.43,378.92,0
446.75,373.49,0
316.96,378.57,1
308.56,400.92,1
304.34,386.13,1
328.12,393.42,1
324.28,385.25,1
319.39,400.01,1
315.26,399.63,1
325.84,410.89,1
336.70,414.33,1
327.27,415.93,1
326.98,417.06,1
332.19,418.16,1
329.91,416.16,1
333.39,411.82,1
385.71,383.08,1
382.77,384.62,0
376.25,385.48,0
392.80,384.23,1
401.26,389.25,1
370.04,378.98,0
401.58,392.62,1
400.04,399.19,1
401.09,408.34,1
399.30,412.98,1
392.51,409.68,1
373.98,351.11,0
389.81,426.49,1
378.66,349.12,0
383.19,424.77,1
383.12,344.82,0
378.29,423.19,1
391.83,342.84,0
368.85,431.08,1
399.78,338.37,0
361.56,426.37,1
404.42,340.52,0
349.34,430.18,1
418.35,339.15,0
345.31,421.87,1
424.87,343.42,0
336.88,417.78,1
433.25,350.11,0
326.96,411.67,1
449.36,363.12,0
316.85,393.50,1
451.19,372.79,0
305.01,373.76,1
461.72,394.12,0
465.53,407.87,0
306.02,346.24,1
453.09,418.39,0
306.67,328.66,1
459.61,441.12,0
318.30,318.85,1
444.53,444.78,0
321.24,303.51,1
434.62,450.81,0
342.70,303.40,1
426.49,474.54,0
365.15,285.20,1
401.60,485.83,0
382.59,274.89,1
400.55,278.26,1
364.45,494.75,0
420.01,278.78,1
347.41,498.71,0
438.49,273.14,1
328.92,491.78,0
457.50,287.90,1
312.16,483.23,0
476.95,287.98,1
292.64,480.93,0
488.04,305.41,1
276.56,459.35,0
503.66,321.86,1
257.83,444.79,0
531.96,333.93,1
253.55,421.90,0
526.56,366.41,1
241.74,402.75,0
531.14,385.26,1
536.82,409.13,1
223.50,356.20,0
528.35,427.17,1
242.88,338.22,0
524.50,453.64,1
239.75,315.21,0
514.35,480.19,1
250.59,290.13,0
501.00,509.09,1
264.56,263.93,0
486.10,519.21,1
290.22,256.64,0
468.57,543.19,1
296.69,222.07,0
434.58,555.90,1
322.88,209.60,0
407.87,569.65,1
360.65,206.23,0
386.81,198.89,0
348.77,576.66,1
415.39,197.99,0
324.80,579.15,1
437.04,202.72,0
289.43,568.35,1
467.64,207.28,0
264.65,544.31,1
502.78,216.07,0
234.72,537.34,1
541.74,231.08,0
220.15,502.47,1
562.96,261.56,0
188.20,475.75,1
580.48,284.20,0
177.18,445.66,1
594.41,316.69,0
161.23,412.39,1
611.06,349.40,0
153.10,384.54,1
616.64,391.03,0
150.96,341.59,1
617.05,415.91,0
142.47,296.57,1
616.90,459.65,0
158.95,260.00,1
183.51,233.44,1
587.29,525.70,0
201.78,198.90,1
570.87,561.59,0
224.80,169.16,1
530.18,599.64,0
259.13,147.37,1
518.90,627.42,0
305.96,117.64,1
469.69,643.37,0
336.52,109.51,1
425.74,652.63,0
380.75,100.82,1
379.38,660.88,0
439.23,96.89,1
347.63,663.48,0
473.71,103.19,1
294.71,663.52,0
515.07,116.35,1
564.22,145.53,1
204.62,622.49,0
604.64,151.46,1
180.44,595.20,0
639.07,198.49,1
127.58,579.19,0
661.69,232.12,1
93.61,521.51,0
685.38,294.50,1
91.55,484.63,0
704.43,337.24,1
61.73,433.17,0
725.66,389.90,1
56.84,392.65,0
726.38,447.47,1
51.96,336.77,0
709.68,498.28,1
66.28,290.09,0
697.38,553.49,1
86.00,231.85,0
661.39,594.59,1
101.55,167.28,0
628.37,645.60,1
144.80,129.52,0
601.49,673.04,1
165.24,87.10,0
547.90,713.94,1
217.10,66.15,0
503.79,739.27,1
276.31,34.26,0
442.72,755.36,1
335.21,10.54,0
388.36,770.26,1
391.90,-11.56,0
310.51,764.95,1
454.16,-11.13,0
260.30,759.04,1
510.87,17.39,0
214.30,734.16,1
569.42,14.89,0
163.90,707.35,1
634.66,40.73,0
86.88,668.16,1
674.23,91.25,0
46.17,640.02,1
720.28,147.39,0
10.19,559.70,1
752.95,203.04,0
-33.27,518.90,1
795.81,239.66,0
-26.58,455.00,1
828.48,323.89,0
